,epoch,loss,accuracy,macro_f,val_loss,val_accuracy,val_macro_f,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.489243,0.832146,0.681748,0.810338,0.757171,0.54753,valid,4,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
1,2,0.627928,0.791446,0.607601,0.723947,0.76116,0.570438,valid,4,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
2,1,0.910993,0.70878,0.46422,0.732439,0.757862,0.562241,valid,4,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
3,3,0.452971,0.844198,0.707998,0.838679,0.753873,0.553949,valid,25,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
4,2,0.592407,0.800094,0.627752,0.758402,0.761697,0.561159,valid,25,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
5,1,0.862761,0.720659,0.492525,0.726055,0.7551,0.567194,valid,25,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
6,3,0.470278,0.839672,0.698269,0.842433,0.756174,0.566864,valid,2021,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
7,2,0.614663,0.795703,0.619139,0.727021,0.76208,0.562706,valid,2021,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
8,1,0.895642,0.713506,0.477474,0.798216,0.732781,0.52146,valid,2021,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
9,3,0.485829,0.832884,0.682359,0.841313,0.758552,0.561331,valid,2020,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
10,2,0.617179,0.793833,0.611837,0.729677,0.758705,0.571814,valid,2020,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
11,1,0.894717,0.711205,0.472941,0.759,0.753873,0.557995,valid,2020,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
12,3,0.460052,0.842252,0.701964,0.836139,0.738457,0.549566,valid,42,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
13,2,0.604488,0.797889,0.621375,0.712843,0.76254,0.577795,valid,42,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
14,1,0.884844,0.716095,0.482622,0.741124,0.746357,0.558087,valid,42,0.2,distilbert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
15,5,0.280397,0.900872,0.814806,0.973136,0.746127,0.544411,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
16,4,0.370227,0.870267,0.755929,0.820468,0.759856,0.571517,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
17,3,0.477439,0.83391,0.689491,0.762255,0.761697,0.568257,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
18,2,0.630136,0.787313,0.606987,0.760077,0.753336,0.562242,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
19,1,0.939644,0.700611,0.462227,0.727442,0.757095,0.562245,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
