,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,6,0.453399,0.840401,0.837616,0.858873,0.840401,1.145496,0.687375,0.68293,0.707849,0.687375,1.163312,0.681163,0.678635,0.708969,0.681163,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
1,5,0.523887,0.818368,0.814423,0.837717,0.818368,1.105411,0.680012,0.682907,0.719039,0.680012,1.118299,0.675794,0.678939,0.712809,0.675794,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
2,4,0.595565,0.794619,0.789302,0.813953,0.794619,1.024186,0.702869,0.691017,0.717716,0.702869,1.032366,0.695199,0.685739,0.714401,0.695199,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
3,3,0.68921,0.766316,0.758669,0.784519,0.766316,1.008419,0.693588,0.679504,0.703844,0.693588,0.987149,0.696042,0.682183,0.703025,0.696042,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
4,2,0.802163,0.737495,0.726306,0.751979,0.737495,0.929367,0.702178,0.687739,0.711341,0.702178,0.915057,0.704786,0.691709,0.714443,0.704786,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
5,1,1.049257,0.670352,0.645746,0.665719,0.670352,0.92136,0.698957,0.682773,0.701186,0.698957,0.927303,0.698803,0.682851,0.700389,0.698803,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
6,6,0.450436,0.839385,0.836092,0.856831,0.839385,1.197099,0.687299,0.68178,0.707491,0.687299,1.199758,0.680933,0.676756,0.701558,0.680933,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
7,5,0.514052,0.819135,0.814751,0.837543,0.819135,1.110097,0.693971,0.68247,0.703239,0.693971,1.113754,0.692591,0.684437,0.710051,0.692591,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
8,4,0.586029,0.795569,0.790054,0.814648,0.795569,1.038359,0.700107,0.685,0.703296,0.700107,1.048729,0.696809,0.681002,0.696483,0.696809,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
9,3,0.675802,0.770046,0.762357,0.788215,0.770046,0.949822,0.706167,0.688387,0.718858,0.706167,0.959702,0.703405,0.686684,0.714193,0.703405,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
10,2,0.794944,0.737716,0.725861,0.750708,0.737716,0.931019,0.707547,0.689352,0.713192,0.707547,0.927975,0.70678,0.690288,0.711669,0.70678,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
11,1,1.042134,0.672461,0.647822,0.667014,0.672461,0.955499,0.688756,0.66407,0.675518,0.688756,0.946402,0.692974,0.671663,0.687481,0.692974,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15-Roberta/keep_all/PretrainedBaseline
