,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id,entropy_constraint,head_dim,variant_name
0,2,0.483904,0.833277,0.827447,0.848401,0.833277,4.229457,0.570827,0.801733,0.798779,0.824873,0.801733,4.931843,0.558361,0.808713,0.805,0.828768,0.808713,4.941027,valid,40,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
1,1,0.680291,0.770976,0.756308,0.776034,0.770976,4.431607,0.596286,0.796441,0.786829,0.808006,0.796441,5.10539,0.597474,0.795904,0.786992,0.808791,0.795904,5.113719,valid,40,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
2,2,0.453432,0.840622,0.835853,0.857181,0.840622,3.782219,0.537253,0.811244,0.806217,0.830113,0.811244,4.550745,0.53297,0.814849,0.810797,0.835809,0.814849,4.559005,valid,2020,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
3,1,0.670962,0.773238,0.75886,0.778016,0.773238,4.205878,0.551232,0.804648,0.800453,0.82521,0.804648,4.602637,0.550464,0.809787,0.80605,0.830427,0.809787,4.609533,valid,2020,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
4,2,0.453432,0.840622,0.835853,0.857181,0.840622,3.782219,0.537253,0.811244,0.806217,0.830113,0.811244,4.550745,0.53297,0.814849,0.810797,0.835809,0.814849,4.559005,valid,2020,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
5,1,0.670962,0.773238,0.75886,0.778016,0.773238,4.205878,0.551232,0.804648,0.800453,0.82521,0.804648,4.602637,0.550464,0.809787,0.80605,0.830427,0.809787,4.609533,valid,2020,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
6,2,0.454459,0.842031,0.837349,0.858121,0.842031,3.933252,0.553974,0.80994,0.805582,0.830043,0.80994,4.62325,0.539811,0.811397,0.806221,0.828341,0.811397,4.631333,valid,42,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
7,1,0.670828,0.772654,0.758771,0.778076,0.772654,4.298379,0.573061,0.798742,0.779194,0.796233,0.798742,4.757918,0.567001,0.801273,0.781962,0.79853,0.801273,4.766803,valid,42,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
8,2,0.454153,0.84043,0.835764,0.857298,0.84043,3.863601,0.55034,0.810784,0.80022,0.819607,0.810784,4.631417,0.536443,0.81669,0.806309,0.822583,0.81669,4.638577,valid,2021,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
9,1,0.668219,0.773133,0.758883,0.777971,0.773133,4.212226,0.571355,0.800276,0.797164,0.823842,0.800276,4.756375,0.567196,0.800353,0.798529,0.824664,0.800353,4.763706,valid,2021,0.2,glove,512,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
