,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.367069,0.878273,0.875799,0.894679,0.878273,0.726681,0.780258,0.777277,0.804813,0.780258,0.702181,0.792146,0.789443,0.816099,0.792146,valid,4,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
1,2,0.518111,0.827352,0.822304,0.844949,0.827352,0.645272,0.787467,0.78654,0.816668,0.787467,0.634106,0.79414,0.793851,0.821293,0.79414,valid,4,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
2,1,0.772054,0.747092,0.731157,0.751089,0.747092,0.652553,0.779951,0.781927,0.817304,0.779951,0.650266,0.785013,0.787903,0.821058,0.785013,valid,4,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
3,3,0.36583,0.878762,0.876543,0.895548,0.878762,0.721946,0.783939,0.770507,0.787846,0.783939,0.7149,0.786087,0.775242,0.793964,0.786087,valid,25,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
4,2,0.512505,0.829461,0.823944,0.845503,0.829461,0.646367,0.791686,0.790026,0.818453,0.791686,0.630891,0.798129,0.794961,0.819221,0.798129,valid,25,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
5,1,0.771324,0.746901,0.731765,0.752622,0.746901,0.689868,0.770057,0.759415,0.781865,0.770057,0.675903,0.779261,0.770752,0.791119,0.779261,valid,25,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
6,3,0.37184,0.876279,0.873566,0.892128,0.876279,0.684882,0.786624,0.783851,0.811613,0.786624,0.670613,0.79276,0.791886,0.820176,0.79276,valid,2021,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
7,2,0.518576,0.826652,0.821979,0.845258,0.826652,0.64913,0.787314,0.785598,0.813568,0.787314,0.636313,0.795751,0.796856,0.82644,0.795751,valid,2021,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
8,1,0.782813,0.743315,0.72667,0.747118,0.743315,0.650323,0.780258,0.769833,0.793537,0.780258,0.645164,0.780258,0.770889,0.793755,0.780258,valid,2021,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
9,3,0.384013,0.872597,0.869695,0.8886,0.872597,0.719214,0.779874,0.778466,0.80808,0.779874,0.708827,0.78486,0.786014,0.81657,0.78486,valid,2020,0.2,glove,256,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
