,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.424345,0.850296,0.847438,0.868859,0.850296,0.560843,0.808713,0.79824,0.818775,0.808713,0.556736,0.814465,0.804657,0.822596,0.814465,valid,40,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
1,2,0.534407,0.812702,0.807035,0.829973,0.812702,0.568537,0.797055,0.795353,0.824828,0.797055,0.57678,0.802961,0.803123,0.834428,0.802961,valid,40,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
2,1,0.72554,0.753574,0.740251,0.760942,0.753574,0.600481,0.787697,0.784297,0.810974,0.787697,0.597626,0.795137,0.791127,0.816719,0.795137,valid,40,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
3,3,0.420849,0.853345,0.850375,0.871452,0.853345,0.558953,0.807793,0.803836,0.828789,0.807793,0.558451,0.811781,0.810246,0.835265,0.811781,valid,5,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
4,2,0.531923,0.813843,0.809089,0.833361,0.813843,0.548616,0.805875,0.804807,0.833785,0.805875,0.553998,0.806029,0.805015,0.832353,0.806029,valid,5,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
5,1,0.726696,0.754533,0.741514,0.762361,0.754533,0.59657,0.787237,0.785655,0.817185,0.787237,0.598162,0.789768,0.789421,0.818609,0.789768,valid,5,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
6,3,0.421146,0.852961,0.849537,0.869962,0.852961,0.55952,0.806182,0.80596,0.834486,0.806182,0.564322,0.813929,0.814193,0.842382,0.813929,valid,4,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
7,2,0.530587,0.814562,0.808995,0.831558,0.814562,0.540894,0.810094,0.804877,0.828435,0.810094,0.54634,0.812088,0.808236,0.831662,0.812088,valid,4,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
8,1,0.723023,0.755913,0.742448,0.763496,0.755913,0.594274,0.791149,0.782136,0.806563,0.791149,0.597052,0.791149,0.782014,0.803156,0.791149,valid,4,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
9,3,0.421146,0.852961,0.849537,0.869962,0.852961,0.55952,0.806182,0.80596,0.834486,0.806182,0.564322,0.813929,0.814193,0.842382,0.813929,valid,4,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
10,2,0.530587,0.814562,0.808995,0.831558,0.814562,0.540894,0.810094,0.804877,0.828435,0.810094,0.54634,0.812088,0.808236,0.831662,0.812088,valid,4,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
11,1,0.723023,0.755913,0.742448,0.763496,0.755913,0.594274,0.791149,0.782136,0.806563,0.791149,0.597052,0.791149,0.782014,0.803156,0.791149,valid,4,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
12,3,0.420587,0.852041,0.848725,0.869478,0.852041,0.557537,0.811091,0.804553,0.827066,0.811091,0.561388,0.815923,0.809584,0.831003,0.815923,valid,25,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
13,2,0.53063,0.815425,0.810673,0.834542,0.815425,0.557951,0.800966,0.78879,0.808303,0.800966,0.559947,0.806949,0.795456,0.812596,0.806949,valid,25,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
14,1,0.725817,0.754629,0.7419,0.76274,0.754629,0.586292,0.794294,0.794471,0.825371,0.794294,0.591612,0.796364,0.796806,0.826598,0.796364,valid,25,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
15,3,0.421726,0.85206,0.848888,0.869582,0.85206,0.55719,0.810784,0.807874,0.832976,0.810784,0.566789,0.811014,0.807443,0.831903,0.811014,valid,2021,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
16,2,0.531219,0.814159,0.808884,0.831854,0.814159,0.541157,0.808636,0.803407,0.827685,0.808636,0.5465,0.810017,0.806211,0.830409,0.810017,valid,2021,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
17,1,0.72495,0.75622,0.743419,0.765003,0.75622,0.592866,0.787007,0.787928,0.820558,0.787007,0.591257,0.794294,0.794993,0.82599,0.794294,valid,2021,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
18,3,0.421732,0.851456,0.84836,0.869486,0.851456,0.55743,0.806719,0.805093,0.831141,0.806719,0.561085,0.814619,0.813346,0.839371,0.814619,valid,2020,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
19,2,0.531963,0.813987,0.808956,0.831939,0.813987,0.55789,0.798359,0.797713,0.827627,0.798359,0.555858,0.807179,0.806822,0.835818,0.807179,valid,2020,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
20,1,0.722514,0.755587,0.742829,0.764425,0.755587,0.596011,0.786087,0.78585,0.817001,0.786087,0.598424,0.792836,0.793583,0.824558,0.792836,valid,2020,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
21,3,0.422613,0.851581,0.84795,0.868615,0.851581,0.557589,0.804955,0.80515,0.835363,0.804955,0.558573,0.80925,0.811627,0.840605,0.80925,valid,42,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
22,2,0.533392,0.813143,0.80775,0.831427,0.813143,0.543503,0.803574,0.802238,0.829504,0.803574,0.546719,0.80856,0.805652,0.82825,0.80856,valid,42,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
23,1,0.724416,0.75646,0.743322,0.764297,0.75646,0.599159,0.788464,0.782773,0.807719,0.788464,0.598877,0.791763,0.786402,0.809749,0.791763,valid,42,0.2,roberta-base,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
24,3,0.378379,0.867611,0.865797,0.885936,0.867611,0.621695,0.797975,0.797768,0.827381,0.797975,0.621264,0.798435,0.797897,0.826511,0.798435,valid,4,0.2,bert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
