,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.609733,0.79624,0.787601,0.80877,0.79624,0.727585,0.76093,0.74952,0.772839,0.76093,0.714304,0.766375,0.754716,0.774359,0.766375,valid,4,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
1,2,0.680459,0.772539,0.762002,0.783435,0.772539,0.725588,0.762617,0.75311,0.775858,0.762617,0.719393,0.759396,0.751879,0.773426,0.759396,valid,4,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
2,1,0.865673,0.721435,0.696464,0.708924,0.721435,0.756724,0.751189,0.738816,0.758762,0.751189,0.745476,0.75303,0.741391,0.760786,0.75303,valid,4,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
3,3,0.60903,0.796614,0.788377,0.810614,0.796614,0.728477,0.763384,0.757957,0.783943,0.763384,0.708499,0.76998,0.766123,0.791121,0.76998,valid,25,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
4,2,0.684293,0.772797,0.762677,0.784928,0.772797,0.721479,0.760776,0.751533,0.773354,0.760776,0.713617,0.765992,0.758306,0.780276,0.765992,valid,25,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
5,1,0.86283,0.720851,0.696454,0.709723,0.720851,0.744282,0.758015,0.746908,0.770133,0.758015,0.744039,0.75487,0.744552,0.76652,0.75487,valid,25,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
6,3,0.607693,0.79763,0.788729,0.809913,0.79763,0.733511,0.76231,0.750572,0.771491,0.76231,0.709388,0.768446,0.758614,0.779992,0.768446,valid,2021,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
7,2,0.683208,0.77344,0.762901,0.784884,0.77344,0.730747,0.758935,0.742312,0.762821,0.758935,0.716105,0.767756,0.750552,0.766667,0.767756,valid,2021,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
8,1,0.857025,0.723986,0.700712,0.715153,0.723986,0.757579,0.750729,0.740823,0.763063,0.750729,0.740525,0.758245,0.751349,0.77454,0.758245,valid,2021,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
9,3,0.609801,0.796297,0.788065,0.80981,0.796297,0.719294,0.761773,0.756637,0.782281,0.761773,0.704667,0.766452,0.760997,0.785564,0.766452,valid,2020,0.2,glove,256,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
