,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id
0,4,0.280222,0.901524,0.899632,0.915687,0.901524,3.720751,0.729596,0.782712,0.783305,0.813696,0.782712,3.861777,0.723885,0.788234,0.787806,0.817171,0.788234,3.863195,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
1,3,0.390951,0.863249,0.859545,0.878988,0.863249,3.748817,0.638503,0.791149,0.790978,0.821575,0.791149,3.864771,0.622945,0.800506,0.801186,0.828546,0.800506,3.865844,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
2,2,0.524689,0.818205,0.812306,0.835758,0.818205,3.81981,0.611377,0.789845,0.772218,0.790315,0.789845,3.990144,0.596542,0.796364,0.779812,0.797477,0.796364,3.994046,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
3,1,0.731903,0.759662,0.746232,0.768245,0.759662,3.899183,0.621288,0.782865,0.782946,0.814506,0.782865,3.818521,0.619603,0.787774,0.789004,0.82,0.787774,3.821708,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
4,1,1.055992,0.670313,0.636608,0.647288,0.670313,1.105087,1.20105,0.644731,0.635004,0.661295,0.644731,0.646097,1.210864,0.647492,0.638547,0.665134,0.647492,0.646348,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
5,2,0.505296,0.826211,0.819489,0.840638,0.826211,2.843308,0.59069,0.794064,0.782666,0.803114,0.794064,4.499276,0.584009,0.795674,0.78508,0.8045,0.795674,4.505042,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
6,1,0.723923,0.762347,0.746081,0.764766,0.762347,3.157499,0.659158,0.775579,0.755414,0.775841,0.775579,4.661159,0.655499,0.77811,0.758376,0.778283,0.77811,4.666518,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
7,2,0.490808,0.830564,0.82427,0.84503,0.830564,3.463896,0.578929,0.800046,0.791954,0.814803,0.800046,4.073044,0.564195,0.806489,0.798744,0.819426,0.806489,4.077896,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
8,1,0.714144,0.76507,0.749475,0.768316,0.76507,3.936706,0.606989,0.786394,0.772693,0.793203,0.786394,4.253031,0.599392,0.793833,0.78026,0.800999,0.793833,4.258275,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
9,1,1.25819,0.634848,0.559674,0.537196,0.634848,3.60489,0.947231,0.693281,0.650806,0.660509,0.693281,4.130149,0.92992,0.705553,0.663904,0.672597,0.705553,4.12703,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
10,3,0.400295,0.862281,0.857632,0.876279,0.862281,3.965507,0.663478,0.789385,0.783351,0.807515,0.789385,3.96767,0.644605,0.792223,0.787014,0.811858,0.792223,3.974309,valid,4,0.2,glove,256,40,BiAttentionClassifyModel,1,,New_MIND15/keep_all/BiAttentionClassifyModel
11,2,0.529213,0.819519,0.812325,0.833962,0.819519,4.095561,0.610007,0.793066,0.783422,0.803907,0.793066,4.18055,0.6049,0.80273,0.791671,0.809846,0.80273,4.18666,valid,4,0.2,glove,256,40,BiAttentionClassifyModel,1,,New_MIND15/keep_all/BiAttentionClassifyModel
