,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id
0,2,0.797444,0.760699,0.751716,0.784059,0.760699,2.065815,1.010306,0.70686,0.700076,0.740073,0.70686,2.460786,1.009629,0.708802,0.700987,0.738379,0.708802,2.463231,valid,5,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
1,1,1.143839,0.670978,0.653084,0.684929,0.670978,2.483231,1.00008,0.707209,0.690327,0.720786,0.707209,2.671735,0.996858,0.705915,0.68861,0.718707,0.705915,2.673909,valid,5,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
2,2,0.803798,0.759348,0.750427,0.782771,0.759348,1.982452,1.001739,0.706661,0.700233,0.741438,0.706661,2.411159,0.994059,0.7093,0.701711,0.740165,0.7093,2.41423,valid,40,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
3,1,1.144569,0.670467,0.651974,0.682704,0.670467,2.4053,1.003746,0.70706,0.692312,0.72268,0.70706,2.628753,0.995633,0.708703,0.693539,0.723738,0.708703,2.631323,valid,40,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
4,2,0.800808,0.760792,0.752048,0.784744,0.760792,2.038472,1.015592,0.706761,0.706953,0.754938,0.706761,2.483353,1.00113,0.709748,0.708567,0.752007,0.709748,2.485888,valid,2020,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
5,1,1.150567,0.669764,0.65158,0.682956,0.669764,2.471753,1.004176,0.708553,0.698049,0.733104,0.708553,2.645558,1.002743,0.706512,0.697454,0.733363,0.706512,2.648375,valid,2020,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
6,2,0.80504,0.759174,0.750513,0.783754,0.759174,2.023295,1.004548,0.708902,0.700584,0.738377,0.708902,2.446161,0.996567,0.711092,0.70309,0.742568,0.711092,2.448555,valid,42,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
7,1,1.147455,0.671444,0.653313,0.684793,0.671444,2.422342,0.997176,0.707856,0.700245,0.738896,0.707856,2.649725,0.999256,0.704969,0.694396,0.730612,0.704969,2.651051,valid,42,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
8,2,0.801048,0.76035,0.751465,0.784149,0.76035,1.971008,1.011529,0.704819,0.693679,0.729334,0.704819,2.439413,1.004455,0.710395,0.699451,0.733392,0.710395,2.442626,valid,2021,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
9,1,1.147137,0.671202,0.653383,0.685136,0.671202,2.431388,1.009709,0.70228,0.688161,0.722572,0.70228,2.665228,1.001569,0.705267,0.691095,0.72524,0.705267,2.667715,valid,2021,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
10,2,0.801048,0.76035,0.751465,0.784149,0.76035,1.971008,1.011529,0.704819,0.693679,0.729334,0.704819,2.439413,1.004455,0.710395,0.699451,0.733392,0.710395,2.442626,valid,2021,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
11,1,1.147137,0.671202,0.653383,0.685136,0.671202,2.431388,1.009709,0.70228,0.688161,0.722572,0.70228,2.665228,1.001569,0.705267,0.691095,0.72524,0.705267,2.667715,valid,2021,0.2,glove,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
12,2,0.843423,0.744704,0.735193,0.768921,0.744704,2.769534,0.955309,0.721746,0.713478,0.750007,0.721746,2.924062,0.961864,0.71851,0.711569,0.749505,0.71851,2.926257,valid,5,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
13,1,1.191743,0.655306,0.635979,0.66693,0.655306,2.721159,0.999738,0.706114,0.694611,0.732499,0.706114,2.93005,0.996377,0.705516,0.693228,0.73169,0.705516,2.929685,valid,5,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
14,2,0.843311,0.745475,0.736078,0.769227,0.745475,2.726925,0.959675,0.720452,0.712124,0.751172,0.720452,2.912005,0.963025,0.717465,0.709689,0.74812,0.717465,2.91168,valid,40,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
15,1,1.192163,0.654609,0.634644,0.665095,0.654609,2.727949,1.003755,0.70462,0.695675,0.734396,0.70462,2.903964,1.00273,0.701782,0.694861,0.733565,0.701782,2.903828,valid,40,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
16,2,0.846158,0.744436,0.734984,0.7682,0.744436,2.75786,0.958151,0.722244,0.714632,0.750806,0.722244,2.916231,0.962604,0.718212,0.711004,0.749063,0.718212,2.917089,valid,2020,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
17,1,1.194844,0.654728,0.63492,0.66546,0.654728,2.726378,0.997447,0.710097,0.694665,0.725655,0.710097,2.902478,0.996091,0.706761,0.691858,0.723284,0.706761,2.903745,valid,2020,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
18,2,0.845712,0.744305,0.734781,0.768081,0.744305,2.751511,0.951717,0.721199,0.710632,0.745129,0.721199,2.970651,0.952618,0.721697,0.71364,0.749095,0.721697,2.970924,valid,42,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
19,1,1.194306,0.65568,0.635899,0.666221,0.65568,2.732817,0.999877,0.709748,0.698588,0.733255,0.709748,2.914382,1.002523,0.700388,0.688696,0.724528,0.700388,2.916147,valid,42,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
20,2,0.845475,0.744822,0.735464,0.76876,0.744822,2.725746,0.964161,0.721099,0.711597,0.748097,0.721099,2.928924,0.97335,0.716419,0.706964,0.743592,0.716419,2.930869,valid,2021,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
21,1,1.194166,0.654833,0.635512,0.666863,0.654833,2.717158,0.995548,0.706363,0.690379,0.721,0.706363,2.910939,0.994571,0.704969,0.689237,0.720461,0.704969,2.913551,valid,2021,0.2,xlnet-base-cased,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
22,2,0.866827,0.738884,0.729322,0.762834,0.738884,2.722882,0.947071,0.717067,0.710241,0.749593,0.717067,2.883972,0.948298,0.719108,0.714522,0.75645,0.719108,2.883164,valid,5,0.2,roberta-base,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
23,1,1.176934,0.658343,0.639774,0.671623,0.658343,2.74242,0.993822,0.703425,0.689585,0.720529,0.703425,2.938017,0.996966,0.701832,0.689532,0.722675,0.701832,2.939312,valid,5,0.2,roberta-base,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
24,2,0.867611,0.738461,0.729282,0.763484,0.738461,2.748447,0.94397,0.720253,0.709142,0.741935,0.720253,2.93435,0.947593,0.718062,0.708544,0.74379,0.718062,2.934581,valid,40,0.2,roberta-base,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
25,1,1.180514,0.657441,0.638007,0.668818,0.657441,2.760247,0.999498,0.704321,0.693008,0.727986,0.704321,2.936265,0.999367,0.698994,0.689646,0.727872,0.698994,2.937589,valid,40,0.2,roberta-base,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
26,2,0.865478,0.739065,0.729315,0.763501,0.739065,2.738368,0.942393,0.720801,0.713492,0.750955,0.720801,2.898368,0.952046,0.719904,0.713646,0.754007,0.719904,2.899006,valid,2020,0.2,roberta-base,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
27,1,1.178396,0.657995,0.639089,0.670688,0.657995,2.778893,1.001013,0.698795,0.69156,0.7319,0.698795,2.968149,0.999873,0.701036,0.695768,0.737735,0.701036,2.96919,valid,2020,0.2,roberta-base,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
28,2,0.867231,0.737746,0.728255,0.762336,0.737746,2.789016,0.946536,0.720452,0.709966,0.744741,0.720452,2.961483,0.949692,0.719606,0.710339,0.747431,0.719606,2.962504,valid,42,0.2,roberta-base,100,50,BiAttentionClassifyModel,1,gru,News26/keep_all/BiAttentionClassifyModel
