,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.712996,0.791257,0.784461,0.815803,0.791257,1.198851,0.682117,0.677319,0.721242,0.682117,1.197303,0.683113,0.680772,0.728311,0.683113,valid,4,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
1,2,0.919188,0.737273,0.726918,0.761348,0.737273,1.138774,0.688489,0.681486,0.723353,0.688489,1.139563,0.684855,0.67893,0.722007,0.684855,valid,4,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
2,1,1.374383,0.624381,0.601826,0.63336,0.624381,1.158512,0.675296,0.665197,0.704183,0.675296,1.166581,0.673952,0.664564,0.705028,0.673952,valid,4,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
3,3,0.722021,0.78906,0.782665,0.814769,0.78906,1.185558,0.684507,0.673797,0.71131,0.684507,1.17314,0.684606,0.674639,0.711174,0.684606,valid,25,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
4,2,0.929079,0.735318,0.725055,0.759154,0.735318,1.159217,0.688888,0.679684,0.718499,0.688888,1.158444,0.686,0.677038,0.716055,0.686,valid,25,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
5,1,1.378951,0.621238,0.598389,0.629595,0.621238,1.162341,0.678881,0.662725,0.693581,0.678881,1.164722,0.676491,0.662225,0.696718,0.676491,valid,25,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
6,3,0.714398,0.791618,0.784777,0.816114,0.791618,1.209268,0.682216,0.669344,0.705012,0.682216,1.181208,0.687394,0.676024,0.713471,0.687394,valid,2021,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
7,2,0.925231,0.736451,0.726191,0.7601,0.736451,1.114269,0.691377,0.678989,0.714002,0.691377,1.114603,0.691925,0.679354,0.7145,0.691925,valid,2021,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
8,1,1.379919,0.621126,0.599251,0.631728,0.621126,1.151938,0.675943,0.669034,0.710955,0.675943,1.147846,0.676043,0.669727,0.712316,0.676043,valid,2021,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
9,3,0.715948,0.789832,0.783056,0.814752,0.789832,1.165769,0.686647,0.677984,0.715657,0.686647,1.171258,0.683312,0.674527,0.712269,0.683312,valid,2020,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
10,2,0.925659,0.735567,0.725558,0.760192,0.735567,1.138608,0.685154,0.669676,0.702578,0.685154,1.144692,0.68137,0.667882,0.703232,0.68137,valid,2020,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
11,1,1.383832,0.620883,0.597771,0.628553,0.620883,1.163076,0.67679,0.658815,0.691791,0.67679,1.155034,0.677537,0.660789,0.695755,0.677537,valid,2020,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
12,3,0.726396,0.787809,0.780819,0.812468,0.787809,1.204818,0.680673,0.676188,0.719648,0.680673,1.192869,0.681171,0.676704,0.722608,0.681171,valid,42,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
13,2,0.931073,0.734503,0.723888,0.757362,0.734503,1.129543,0.685851,0.68179,0.725856,0.685851,1.14547,0.683511,0.680472,0.725146,0.683511,valid,42,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
14,1,1.376543,0.622184,0.600011,0.632216,0.622184,1.170192,0.672857,0.654441,0.683979,0.672857,1.180846,0.672458,0.654237,0.683209,0.672458,valid,42,0.2,glove,100,FastformerClassifyModel,News26/keep_all/FastformerClassifyModel
