,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.755576,0.769959,0.762076,0.793468,0.769959,1.013308,0.708852,0.702103,0.740054,0.708852,1.018164,0.708653,0.703118,0.745038,0.708653,valid,4,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
1,2,0.934502,0.72152,0.710916,0.745137,0.72152,0.981673,0.713532,0.706193,0.744218,0.713532,0.98667,0.709499,0.703927,0.744562,0.709499,valid,4,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
2,1,1.291301,0.631781,0.609106,0.637881,0.631781,1.03248,0.698994,0.688492,0.723892,0.698994,1.040119,0.692871,0.683883,0.723283,0.692871,valid,4,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
3,3,0.753171,0.77009,0.762317,0.793751,0.77009,1.005393,0.709947,0.700145,0.735391,0.709947,1.010091,0.708752,0.700569,0.738153,0.708752,valid,25,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
4,2,0.930284,0.723649,0.713095,0.747296,0.723649,0.991391,0.709001,0.7003,0.736404,0.709001,0.997684,0.706114,0.697272,0.735378,0.706114,valid,25,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
5,1,1.289057,0.632615,0.609443,0.637895,0.632615,1.036167,0.69531,0.680416,0.711769,0.69531,1.036731,0.693468,0.680328,0.712661,0.693468,valid,25,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
6,3,0.756996,0.769916,0.762198,0.794223,0.769916,1.010786,0.710644,0.703839,0.74267,0.710644,1.013702,0.707109,0.701796,0.740866,0.707109,valid,2021,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
7,2,0.933535,0.722361,0.711961,0.746131,0.722361,1.005388,0.707558,0.693497,0.72495,0.707558,1.010486,0.704172,0.693163,0.728771,0.704172,valid,2021,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
8,1,1.291739,0.633486,0.610813,0.639045,0.633486,1.038206,0.696505,0.685899,0.721367,0.696505,1.039788,0.69063,0.680247,0.715838,0.69063,valid,2021,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
9,3,0.754256,0.770358,0.762941,0.795261,0.770358,1.005908,0.712088,0.707126,0.748255,0.712088,1.009915,0.708105,0.70212,0.742282,0.708105,valid,2020,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
10,2,0.931571,0.723039,0.71241,0.746407,0.723039,0.984313,0.712437,0.703258,0.738687,0.712437,0.988952,0.709549,0.699881,0.736382,0.709549,valid,2020,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
11,1,1.289592,0.632708,0.610198,0.639444,0.632708,1.032629,0.697003,0.684745,0.720012,0.697003,1.034589,0.693717,0.683692,0.720059,0.693717,valid,2020,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
12,3,0.756751,0.769542,0.761762,0.793886,0.769542,1.006076,0.711242,0.700564,0.736261,0.711242,1.01075,0.710097,0.700409,0.735136,0.710097,valid,42,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
13,2,0.932852,0.722778,0.711885,0.745493,0.722778,0.98871,0.710246,0.699261,0.734228,0.710246,0.997824,0.70935,0.699376,0.734649,0.70935,valid,42,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
14,1,1.293563,0.631245,0.608066,0.63649,0.631245,1.035201,0.69999,0.682777,0.712773,0.69999,1.037899,0.694265,0.67702,0.707458,0.694265,valid,42,0.2,xlnet-base-cased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
15,3,0.653626,0.79875,0.793173,0.824164,0.79875,1.037831,0.707358,0.702358,0.743807,0.707358,1.026451,0.709449,0.704545,0.746645,0.709449,valid,4,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
16,2,0.853556,0.744411,0.736208,0.77058,0.744411,0.96632,0.713283,0.707535,0.745911,0.713283,0.955891,0.716419,0.711565,0.753281,0.716419,valid,4,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
17,1,1.234919,0.646767,0.627101,0.65766,0.646767,0.997436,0.704172,0.69981,0.740878,0.704172,0.992269,0.700737,0.694329,0.735291,0.700737,valid,4,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
18,3,0.657159,0.797792,0.791922,0.822481,0.797792,1.039497,0.707657,0.69838,0.736247,0.707657,1.039509,0.705118,0.696594,0.737098,0.705118,valid,25,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
19,2,0.856659,0.744673,0.736566,0.771649,0.744673,0.981335,0.712287,0.708095,0.749937,0.712287,0.978909,0.708952,0.703898,0.744105,0.708952,valid,25,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
20,1,1.237142,0.647464,0.627666,0.659089,0.647464,0.999888,0.707408,0.694726,0.727539,0.707408,0.99185,0.705666,0.692992,0.725398,0.705666,valid,25,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
21,3,0.655016,0.799597,0.793291,0.82329,0.799597,1.022142,0.705018,0.701781,0.746011,0.705018,1.019759,0.708304,0.705606,0.749304,0.708304,valid,2021,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
22,2,0.852801,0.744256,0.735742,0.76997,0.744256,0.983616,0.711341,0.701013,0.736268,0.711341,0.980557,0.710744,0.701187,0.738223,0.710744,valid,2021,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
23,1,1.232529,0.648597,0.629595,0.661137,0.648597,0.988993,0.708006,0.700024,0.736859,0.708006,0.983592,0.705566,0.695858,0.731361,0.705566,valid,2021,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
24,3,0.656004,0.798346,0.79224,0.822246,0.798346,1.03837,0.706661,0.705755,0.751916,0.706661,1.032842,0.704321,0.703103,0.748496,0.704321,valid,2020,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
25,2,0.852764,0.744486,0.735925,0.769955,0.744486,0.976243,0.710146,0.702951,0.741972,0.710146,0.968507,0.711889,0.705301,0.744451,0.711889,valid,2020,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
26,1,1.234136,0.647222,0.627646,0.658941,0.647222,0.982129,0.707806,0.69851,0.736244,0.707806,0.980426,0.706064,0.697914,0.736824,0.706064,valid,2020,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
27,3,0.659574,0.796267,0.790713,0.822184,0.796267,1.026059,0.708802,0.699215,0.735385,0.708802,1.018549,0.709599,0.700797,0.737479,0.709599,valid,42,0.2,distilbert-base-uncased,100,PretrainedBaseline,News26/keep_all/PretrainedBaseline
