,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,1.056288,0.697995,0.684046,0.717372,0.697995,1.208258,0.663348,0.648689,0.683743,0.663348,1.220731,0.659663,0.646046,0.67973,0.659663,valid,4,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
1,2,1.15893,0.672782,0.657244,0.691491,0.672782,1.216857,0.659663,0.648462,0.687307,0.659663,1.228966,0.655382,0.644084,0.682901,0.655382,valid,4,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
2,1,1.41315,0.609475,0.581264,0.606009,0.609475,1.240456,0.65344,0.634092,0.664334,0.65344,1.246524,0.648611,0.632255,0.666467,0.648611,valid,4,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
3,3,1.054698,0.698138,0.684353,0.717529,0.698138,1.212477,0.662053,0.647031,0.68147,0.662053,1.222994,0.657174,0.641533,0.675102,0.657174,valid,25,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
4,2,1.158927,0.671812,0.656356,0.690412,0.671812,1.215008,0.657622,0.643996,0.678243,0.657622,1.205286,0.658419,0.647545,0.6868,0.658419,valid,25,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
5,1,1.417035,0.607913,0.580167,0.605653,0.607913,1.254189,0.648561,0.631255,0.663682,0.648561,1.249863,0.648063,0.632142,0.667166,0.648063,valid,25,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
6,3,1.061961,0.696252,0.682478,0.715865,0.696252,1.224097,0.659713,0.643996,0.678578,0.659713,1.227704,0.659514,0.643918,0.677901,0.659514,valid,2021,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
7,2,1.157694,0.672863,0.657118,0.690432,0.672863,1.217855,0.658319,0.64474,0.679224,0.658319,1.220855,0.658718,0.646703,0.684623,0.658718,valid,2021,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
8,1,1.411957,0.609164,0.580762,0.605447,0.609164,1.254386,0.647765,0.628273,0.660577,0.647765,1.260087,0.646371,0.626019,0.658697,0.646371,valid,2021,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
9,3,1.057462,0.69871,0.684643,0.717947,0.69871,1.223249,0.656925,0.64442,0.681274,0.656925,1.226255,0.657324,0.644571,0.682963,0.657324,valid,2020,0.2,glove,100,TextCNNClassifyModel,News26/keep_all/TextCNNClassifyModel
