,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.071752,0.97666,0.976577,0.982527,0.97666,0.251096,0.9302,0.928244,0.945844,0.9302,0.196045,0.9452,0.944108,0.958204,0.9452,valid,40,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
1,2,0.106811,0.96714,0.967253,0.975841,0.96714,0.214938,0.9322,0.930341,0.948197,0.9322,0.181397,0.9427,0.942076,0.956948,0.9427,valid,40,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
2,1,0.269108,0.91722,0.915712,0.933331,0.91722,0.218801,0.9296,0.929588,0.950417,0.9296,0.167242,0.9485,0.948079,0.960661,0.9485,valid,40,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
3,3,0.068389,0.9776,0.977564,0.983365,0.9776,0.203625,0.9418,0.940484,0.954754,0.9418,0.187634,0.946,0.945357,0.959646,0.946,valid,2020,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
4,2,0.107345,0.96464,0.964568,0.973645,0.96464,0.191284,0.9414,0.940029,0.956164,0.9414,0.181852,0.9428,0.94178,0.956483,0.9428,valid,2020,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
5,1,0.268572,0.91606,0.914375,0.931838,0.91606,0.261513,0.917,0.913035,0.934917,0.917,0.228768,0.9269,0.923758,0.945602,0.9269,valid,2020,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
6,3,0.069799,0.97742,0.977492,0.983398,0.97742,0.231057,0.9354,0.93398,0.951858,0.9354,0.216976,0.9386,0.936931,0.952921,0.9386,valid,4,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
7,2,0.107375,0.96592,0.96596,0.974775,0.96592,0.263734,0.9188,0.915671,0.93909,0.9188,0.226995,0.933,0.930749,0.949751,0.933,valid,4,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
8,1,0.262231,0.91768,0.91588,0.933594,0.91768,0.202503,0.9396,0.937458,0.95411,0.9396,0.18579,0.9401,0.939036,0.95557,0.9401,valid,4,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
9,3,0.067655,0.97806,0.97807,0.983733,0.97806,0.268646,0.923,0.920897,0.942433,0.923,0.186476,0.9448,0.944175,0.959448,0.9448,valid,25,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
10,2,0.105575,0.9672,0.966982,0.975298,0.9672,0.210182,0.938,0.9368,0.954695,0.938,0.202009,0.9439,0.942474,0.956674,0.9439,valid,25,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
11,1,0.273698,0.91556,0.913361,0.930283,0.91556,0.175689,0.9458,0.945065,0.958461,0.9458,0.170967,0.9439,0.943047,0.95761,0.9439,valid,25,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
12,3,0.069729,0.97742,0.977361,0.98329,0.97742,0.224876,0.9394,0.937136,0.950337,0.9394,0.208675,0.9415,0.941024,0.957655,0.9415,valid,2021,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
13,2,0.105237,0.96636,0.966423,0.975003,0.96636,0.171318,0.9508,0.949779,0.962273,0.9508,0.164446,0.9495,0.948953,0.962712,0.9495,valid,2021,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
14,1,0.266306,0.91682,0.915282,0.932708,0.91682,0.238682,0.9186,0.915276,0.937503,0.9186,0.213188,0.9313,0.929604,0.948416,0.9313,valid,2021,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
15,3,0.472449,0.85512,0.854474,0.8907,0.85512,0.684061,0.7866,0.768089,0.806644,0.7866,0.611827,0.8085,0.789818,0.82409,0.8085,valid,2020,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
16,2,0.577766,0.8244,0.823724,0.867956,0.8244,0.69032,0.7848,0.777803,0.81956,0.7848,0.637651,0.8068,0.800369,0.838736,0.8068,valid,2020,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
17,1,0.689058,0.7926,0.790811,0.842712,0.7926,0.788809,0.7666,0.753398,0.809031,0.7666,0.76256,0.7729,0.762926,0.812384,0.7729,valid,2020,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
