,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id
0,2,0.312122,0.903827,0.903465,0.927271,0.903827,2.846421,0.387795,0.883818,0.884533,0.912731,0.883818,3.104446,0.361205,0.888545,0.888818,0.915252,0.888545,3.114568,valid,5,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
1,1,0.475365,0.853682,0.852845,0.886632,0.853682,2.99197,0.399382,0.874909,0.87456,0.905645,0.874909,3.188478,0.379473,0.881909,0.881602,0.911367,0.881909,3.197865,valid,5,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
2,2,0.313542,0.903364,0.902931,0.92711,0.903364,2.914251,0.378395,0.886727,0.88699,0.914233,0.886727,3.107411,0.358071,0.892273,0.891717,0.917524,0.892273,3.117177,valid,40,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
3,1,0.47208,0.8548,0.853968,0.888313,0.8548,3.049192,0.401804,0.875727,0.876312,0.907639,0.875727,3.23329,0.380104,0.883273,0.883451,0.91197,0.883273,3.242064,valid,40,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
4,2,0.309373,0.903891,0.903618,0.927522,0.903891,2.740555,0.388113,0.882364,0.882245,0.912893,0.882364,2.951253,0.36936,0.888636,0.889449,0.919187,0.888636,2.962103,valid,2020,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
5,1,0.472744,0.856045,0.855362,0.889326,0.856045,2.69861,0.396301,0.878182,0.878047,0.907956,0.878182,2.98086,0.383903,0.883545,0.882603,0.911341,0.883545,2.990651,valid,2020,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
6,2,0.308126,0.904482,0.904045,0.927508,0.904482,2.674043,0.376271,0.889909,0.889376,0.915262,0.889909,2.938501,0.349852,0.893727,0.894029,0.921212,0.893727,2.950136,valid,42,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
7,1,0.470657,0.856318,0.855176,0.888344,0.856318,2.681197,0.399301,0.879182,0.879232,0.908969,0.879182,2.908053,0.382063,0.884273,0.884229,0.913223,0.884273,2.920339,valid,42,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
8,2,0.308963,0.904391,0.904239,0.928317,0.904391,2.740866,0.39002,0.884,0.882756,0.909488,0.884,2.961274,0.365724,0.891727,0.890391,0.916138,0.891727,2.973294,valid,2021,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
9,1,0.47174,0.855909,0.854622,0.887874,0.855909,2.725137,0.401118,0.878636,0.878912,0.909865,0.878636,2.977244,0.37994,0.880364,0.880856,0.910838,0.880364,2.988625,valid,2021,0.2,roberta-wwm,100,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
10,2,0.317013,0.9026,0.902466,0.926633,0.9026,2.297256,0.366428,0.889909,0.889944,0.916589,0.889909,2.719803,0.349499,0.892545,0.892524,0.91851,0.892545,2.728673,valid,5,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
11,1,0.472607,0.854173,0.853105,0.886354,0.854173,2.280399,0.385896,0.877455,0.877283,0.906035,0.877455,2.665501,0.366998,0.885818,0.886063,0.914448,0.885818,2.677112,valid,5,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
12,2,0.315551,0.901873,0.901778,0.926247,0.901873,2.303894,0.367954,0.888727,0.887841,0.913423,0.888727,2.570015,0.354422,0.894455,0.894614,0.920635,0.894455,2.580276,valid,40,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
13,1,0.47281,0.854336,0.853349,0.887169,0.854336,2.302082,0.387153,0.879182,0.879464,0.910344,0.879182,2.632608,0.37086,0.885909,0.885648,0.912821,0.885909,2.642107,valid,40,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
14,2,0.316034,0.902418,0.90206,0.926229,0.902418,2.221674,0.368852,0.886909,0.886511,0.912679,0.886909,2.62283,0.349141,0.894182,0.893543,0.918642,0.894182,2.633869,valid,2020,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
15,1,0.471331,0.854227,0.853154,0.88695,0.854227,2.227005,0.397221,0.878091,0.879174,0.910264,0.878091,2.561904,0.379758,0.885091,0.884525,0.913664,0.885091,2.57169,valid,2020,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
16,2,0.317512,0.902382,0.902333,0.92633,0.902382,2.336094,0.374226,0.885091,0.884254,0.91241,0.885091,2.664921,0.349506,0.894636,0.894205,0.919049,0.894636,2.673906,valid,42,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
17,1,0.474136,0.853955,0.852951,0.88639,0.853955,2.294118,0.398517,0.874727,0.874645,0.905713,0.874727,2.662659,0.387435,0.881636,0.881308,0.908994,0.881636,2.673011,valid,42,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
18,2,0.317777,0.901555,0.901257,0.925871,0.901555,2.302112,0.370355,0.886273,0.885139,0.912153,0.886273,2.617473,0.347282,0.895818,0.89535,0.920276,0.895818,2.626294,valid,2021,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
19,1,0.474344,0.854627,0.853558,0.886861,0.854627,2.348555,0.390285,0.881364,0.88157,0.911041,0.881364,2.613186,0.373086,0.884455,0.884112,0.912399,0.884455,2.622716,valid,2021,0.2,bert-base-chinese,256,50,BiAttentionClassifyModel,1,gru,toutiao_news/keep_all/BiAttentionClassifyModel
20,3,0.193528,0.938609,0.938483,0.954335,0.938609,2.69222,0.410869,0.889364,0.889438,0.91703,0.889364,2.638358,0.389161,0.892455,0.891244,0.916622,0.892455,2.645707,valid,40,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
21,2,0.286524,0.911673,0.911674,0.934323,0.911673,2.932811,0.374995,0.889727,0.890303,0.916483,0.889727,2.916462,0.342327,0.894364,0.893313,0.918088,0.894364,2.925771,valid,40,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
22,1,0.460913,0.862718,0.861819,0.893991,0.862718,3.110495,0.400804,0.878091,0.877544,0.907206,0.878091,3.004395,0.373058,0.886091,0.885543,0.912901,0.886091,3.014744,valid,40,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
23,3,0.193014,0.939382,0.939285,0.954986,0.939382,2.695304,0.425766,0.887545,0.886952,0.913374,0.887545,2.628928,0.390622,0.892818,0.893142,0.920169,0.892818,2.634516,valid,2020,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
24,2,0.285733,0.911882,0.91171,0.933838,0.911882,2.942808,0.368367,0.888,0.887953,0.915853,0.888,2.977493,0.341835,0.895545,0.895983,0.921023,0.895545,2.985274,valid,2020,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
25,1,0.460186,0.861709,0.861039,0.892969,0.861709,3.104826,0.391112,0.880182,0.880815,0.910716,0.880182,3.067985,0.371324,0.885,0.884946,0.91229,0.885,3.076468,valid,2020,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
26,3,0.19525,0.938864,0.93872,0.954421,0.938864,2.724926,0.409465,0.890182,0.890346,0.916505,0.890182,2.692665,0.381644,0.896818,0.896412,0.92108,0.896818,2.70161,valid,4,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
27,2,0.287299,0.911364,0.911274,0.933784,0.911364,2.961283,0.373882,0.886,0.886161,0.913397,0.886,2.932183,0.353546,0.895636,0.895333,0.921039,0.895636,2.941406,valid,4,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
28,1,0.460106,0.862282,0.861657,0.894072,0.862282,3.115901,0.376294,0.881909,0.881525,0.909271,0.881909,3.077606,0.361119,0.892,0.891546,0.917163,0.892,3.086427,valid,4,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
29,3,0.195047,0.938855,0.938786,0.954446,0.938855,2.69863,0.41913,0.886818,0.886179,0.91324,0.886818,2.647315,0.37345,0.896909,0.896967,0.922336,0.896909,2.652892,valid,25,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
30,2,0.287144,0.911764,0.911604,0.933505,0.911764,2.935177,0.377324,0.888182,0.887484,0.913747,0.888182,2.895343,0.355179,0.894636,0.893771,0.919856,0.894636,2.904778,valid,25,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
31,1,0.461561,0.860582,0.859605,0.891342,0.860582,3.097482,0.390867,0.880182,0.880561,0.909292,0.880182,3.059557,0.371016,0.889,0.889394,0.916438,0.889,3.068577,valid,25,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
32,3,0.191316,0.9393,0.93928,0.955287,0.9393,2.635421,0.402066,0.889273,0.88851,0.914852,0.889273,2.68819,0.375806,0.895364,0.894725,0.919913,0.895364,2.69469,valid,2021,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
33,2,0.28421,0.9131,0.913098,0.934973,0.9131,2.891747,0.366438,0.887455,0.887313,0.915786,0.887455,2.953113,0.34192,0.895909,0.894784,0.918678,0.895909,2.960263,valid,2021,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
34,1,0.459469,0.863173,0.862364,0.894373,0.863173,3.055137,0.391053,0.879364,0.87898,0.908046,0.879364,2.967653,0.374554,0.882182,0.881636,0.90893,0.882182,2.975642,valid,2021,0.2,roberta-wwm,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
35,3,0.233449,0.927291,0.927306,0.946033,0.927291,2.528677,0.390945,0.888636,0.888556,0.914786,0.888636,2.462401,0.361737,0.898364,0.899066,0.923702,0.898364,2.469971,valid,4,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
36,2,0.307207,0.906191,0.906188,0.929887,0.906191,2.734773,0.363546,0.890727,0.890393,0.916062,0.890727,2.791714,0.340929,0.899091,0.899306,0.924581,0.899091,2.798823,valid,4,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
37,1,0.466664,0.859464,0.858444,0.890703,0.859464,2.984821,0.380538,0.884909,0.884463,0.913071,0.884909,2.821356,0.36201,0.891818,0.89141,0.917131,0.891818,2.829654,valid,4,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
38,3,0.231625,0.928236,0.9281,0.946299,0.928236,2.478182,0.384514,0.890818,0.891162,0.91809,0.890818,2.421382,0.363485,0.896636,0.896631,0.922398,0.896636,2.424636,valid,25,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
39,2,0.306735,0.906364,0.906357,0.929853,0.906364,2.703131,0.363927,0.890182,0.889946,0.916468,0.890182,2.72775,0.343495,0.895818,0.895616,0.919687,0.895818,2.734131,valid,25,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
40,1,0.468514,0.856927,0.856348,0.889592,0.856927,2.948044,0.384534,0.880545,0.881768,0.910934,0.880545,2.766764,0.36126,0.890636,0.891117,0.918163,0.890636,2.774486,valid,25,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
41,3,0.2321,0.927082,0.926906,0.945355,0.927082,2.501659,0.387021,0.889,0.888798,0.916077,0.889,2.451875,0.355428,0.897545,0.897484,0.924596,0.897545,2.455694,valid,2021,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
42,2,0.308731,0.905627,0.90561,0.929441,0.905627,2.715948,0.385239,0.883727,0.882384,0.908902,0.883727,2.752627,0.355955,0.891182,0.891759,0.919885,0.891182,2.75821,valid,2021,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
43,1,0.468907,0.857027,0.85602,0.888862,0.857027,2.985968,0.380058,0.882,0.881375,0.909104,0.882,2.816748,0.361453,0.887,0.887505,0.914603,0.887,2.822212,valid,2021,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
44,3,0.231677,0.927145,0.927198,0.946009,0.927145,2.490592,0.381569,0.891364,0.891316,0.91887,0.891364,2.44497,0.352048,0.899636,0.898873,0.923769,0.899636,2.450469,valid,2020,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
45,2,0.304918,0.905918,0.90572,0.928986,0.905918,2.686691,0.373993,0.886727,0.886484,0.913608,0.886727,2.619004,0.35009,0.893273,0.893535,0.919237,0.893273,2.625272,valid,2020,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
46,1,0.46538,0.859736,0.858946,0.891163,0.859736,2.959132,0.383906,0.880364,0.879494,0.907404,0.880364,2.852388,0.362278,0.888545,0.888336,0.915446,0.888545,2.859466,valid,2020,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
47,3,0.233639,0.926855,0.92665,0.945535,0.926855,2.536027,0.401381,0.885909,0.885694,0.914478,0.885909,2.477787,0.373555,0.891727,0.890406,0.917143,0.891727,2.485233,valid,42,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
48,2,0.308793,0.905955,0.905538,0.92867,0.905955,2.765867,0.364306,0.89,0.890982,0.918997,0.89,2.682585,0.346832,0.893909,0.89453,0.920965,0.893909,2.692478,valid,42,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
49,1,0.470166,0.857645,0.856936,0.890744,0.857645,3.043885,0.391496,0.880727,0.879678,0.908197,0.880727,2.882075,0.372592,0.886545,0.886557,0.914246,0.886545,2.88833,valid,42,0.2,bert-base-chinese,100,40,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
50,3,0.458145,0.860755,0.86008,0.894457,0.860755,2.443768,0.541046,0.838182,0.837711,0.877714,0.838182,2.526288,0.518962,0.845545,0.845582,0.884689,0.845545,2.530535,valid,4,0.2,bert-base-chinese,100,60,BiAttentionClassifyModel,1,,toutiao_news/keep_all/BiAttentionClassifyModel
