,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
0,3,0.295515,0.907109,0.906776,0.930017,0.907109,0.409101,0.880455,0.880041,0.908884,0.880455,0.392772,0.885273,0.886267,0.913732,0.885273,valid,40,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
1,2,0.353983,0.890418,0.89027,0.917234,0.890418,0.40972,0.877545,0.877146,0.907393,0.877545,0.391851,0.882364,0.881279,0.907638,0.882364,valid,40,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
2,1,0.513669,0.842409,0.841042,0.876501,0.842409,0.428828,0.867182,0.866254,0.898209,0.867182,0.410224,0.873545,0.873085,0.903506,0.873545,valid,40,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
3,3,0.29268,0.907636,0.907228,0.929984,0.907636,0.405457,0.881091,0.879924,0.907666,0.881091,0.387725,0.883727,0.885569,0.915747,0.883727,valid,2020,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
4,2,0.354654,0.890536,0.890314,0.917181,0.890536,0.399247,0.876364,0.876191,0.905532,0.876364,0.383328,0.881818,0.881642,0.911561,0.881818,valid,2020,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
5,1,0.514285,0.841309,0.839705,0.87465,0.841309,0.414842,0.871,0.871467,0.901548,0.871,0.398523,0.875273,0.876044,0.907675,0.875273,valid,2020,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
6,3,0.291972,0.907882,0.907681,0.930776,0.907882,0.412487,0.876091,0.875661,0.905983,0.876091,0.395158,0.883182,0.883169,0.911852,0.883182,valid,4,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
7,2,0.353007,0.890164,0.8899,0.916911,0.890164,0.393969,0.879364,0.879241,0.908863,0.879364,0.383875,0.880818,0.880124,0.908193,0.880818,valid,4,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
8,1,0.516513,0.840773,0.839792,0.874914,0.840773,0.401227,0.877,0.877036,0.905367,0.877,0.391368,0.877727,0.877461,0.905994,0.877727,valid,4,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
9,3,0.294655,0.907345,0.906903,0.930154,0.907345,0.403129,0.880545,0.880371,0.908965,0.880545,0.381885,0.887818,0.888157,0.915569,0.887818,valid,25,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
10,2,0.35614,0.889518,0.88958,0.9172,0.889518,0.397981,0.877727,0.87685,0.904586,0.877727,0.386249,0.881455,0.882248,0.910985,0.881455,valid,25,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
11,1,0.514087,0.842655,0.841706,0.877191,0.842655,0.40815,0.873455,0.873853,0.904973,0.873455,0.393007,0.879091,0.878415,0.908447,0.879091,valid,25,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
12,3,0.294491,0.908,0.907423,0.929966,0.908,0.395967,0.879545,0.878981,0.907546,0.879545,0.375614,0.885,0.885523,0.912807,0.885,valid,2021,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
13,2,0.353421,0.890818,0.890734,0.917709,0.890818,0.407513,0.881636,0.881446,0.90929,0.881636,0.383183,0.884091,0.883777,0.910535,0.884091,valid,2021,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
14,1,0.513702,0.843173,0.841874,0.876905,0.843173,0.403244,0.873636,0.873361,0.903502,0.873636,0.391086,0.878545,0.878492,0.906297,0.878545,valid,2021,0.2,roberta-wwm,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
15,3,0.324186,0.898864,0.898661,0.923467,0.898864,0.409608,0.879364,0.87991,0.910842,0.879364,0.389575,0.882727,0.88295,0.911868,0.882727,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
16,2,0.384609,0.880882,0.880489,0.909237,0.880882,0.413674,0.873364,0.87236,0.902859,0.873364,0.393806,0.877909,0.877584,0.906032,0.877909,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
17,1,0.554462,0.828064,0.826578,0.86256,0.828064,0.430057,0.864818,0.864891,0.89599,0.864818,0.412724,0.871182,0.871111,0.901893,0.871182,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
18,3,0.326192,0.8981,0.897824,0.92283,0.8981,0.403088,0.879091,0.878668,0.908721,0.879091,0.383956,0.884636,0.885545,0.914682,0.884636,valid,25,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
19,2,0.38191,0.880927,0.880633,0.909493,0.880927,0.414199,0.873364,0.87315,0.902418,0.873364,0.392812,0.879182,0.880006,0.911448,0.879182,valid,25,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
20,1,0.55106,0.830118,0.828853,0.865226,0.830118,0.437499,0.862909,0.862221,0.894133,0.862909,0.421411,0.868091,0.867807,0.899237,0.868091,valid,25,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
21,3,0.324263,0.898118,0.898009,0.923205,0.898118,0.419846,0.874909,0.874346,0.902445,0.874909,0.390772,0.880545,0.880614,0.909026,0.880545,valid,2021,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
22,2,0.383308,0.881073,0.880715,0.909395,0.881073,0.418989,0.872273,0.872104,0.904297,0.872273,0.402036,0.875182,0.874819,0.904981,0.875182,valid,2021,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
23,1,0.552148,0.830273,0.828781,0.86481,0.830273,0.426947,0.865636,0.865576,0.898556,0.865636,0.411425,0.871,0.869978,0.898919,0.871,valid,2021,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
24,3,0.323815,0.898609,0.89877,0.924194,0.898609,0.407645,0.876545,0.875581,0.904394,0.876545,0.386497,0.880727,0.880053,0.910714,0.880727,valid,2020,0.2,bert-base-chinese,100,PretrainedBaseline,toutiao_news/keep_all/PretrainedBaseline
