,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,NPMI,CV,token_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
0,BiAttentionClassifyModel,2020,0,base,0.540415,0.811474,0.80542,0.826747,0.811474,4.550935,0.531031,0.815156,0.810843,0.833138,0.815156,4.558535,-0.24039679624573368,0.6047450439445808,12.237878211934252,0.2,glove,512,60,1,gru,MIND15/keep_all/BiAttentionClassifyModel
1,BiAttentionClassifyModel,42,0,base,0.553697,0.807409,0.803777,0.829207,0.807409,4.62311,0.541867,0.810324,0.805678,0.828129,0.810324,4.631589,-0.215555509978682,0.5806463169093203,12.261546094531775,0.2,glove,512,60,1,gru,MIND15/keep_all/BiAttentionClassifyModel
2,BiAttentionClassifyModel,2021,0,base,0.54863,0.811091,0.800983,0.820818,0.811091,4.631483,0.535262,0.814312,0.803594,0.820931,0.814312,4.638542,-0.24909908985010484,0.6068551342831001,12.245070665824276,0.2,glove,512,60,1,gru,MIND15/keep_all/BiAttentionClassifyModel
3,BiAttentionClassifyModel,4,0,base,0.601205,0.795291,0.78507,0.806166,0.795291,3.511765,0.601724,0.797975,0.78903,0.810748,0.797975,3.518238,-0.22351772497285757,0.47471296014156544,12.246019610444574,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
4,BiAttentionClassifyModel,25,0,base,0.608915,0.7946,0.782783,0.804562,0.7946,3.91558,0.597553,0.802194,0.790907,0.810201,0.802194,3.923745,-0.22312922127586,0.5461781500527378,12.210626271749723,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
5,BiAttentionClassifyModel,2021,0,base,0.606472,0.794907,0.790782,0.817282,0.794907,3.521021,0.595127,0.798359,0.794259,0.819002,0.798359,3.530238,-0.22042985949192503,0.5241943588235423,12.214384939792774,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
6,BiAttentionClassifyModel,2020,0,base,0.610482,0.795214,0.790551,0.814984,0.795214,3.784573,0.614555,0.800123,0.795991,0.821572,0.800123,3.792979,-0.25747390921816377,0.5355364675722729,12.16642902870091,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
7,BiAttentionClassifyModel,42,0,base,0.621558,0.795214,0.791667,0.816202,0.795214,3.986234,0.601625,0.805875,0.804151,0.828203,0.805875,3.994488,-0.24032917894213596,0.5532891289692918,12.209198128738482,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
8,BiAttentionClassifyModel,2020,0,base,0.610482,0.795214,0.790551,0.814984,0.795214,3.784573,0.614555,0.800123,0.795991,0.821572,0.800123,3.792979,-0.25747390921816377,0.5355364675722729,12.16642902870091,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
9,BiAttentionClassifyModel,42,0,base,0.621558,0.795214,0.791667,0.816202,0.795214,3.986234,0.601625,0.805875,0.804151,0.828203,0.805875,3.994488,-0.24032917894213596,0.5532891289692918,12.209198128738482,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
10,BiAttentionClassifyModel,4,0,base,0.601205,0.795291,0.78507,0.806166,0.795291,3.511765,0.601724,0.797975,0.78903,0.810748,0.797975,3.518238,-0.22351772497285757,0.47471296014156544,12.246019610444574,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
11,BiAttentionClassifyModel,25,0,base,0.608915,0.7946,0.782783,0.804562,0.7946,3.91558,0.597553,0.802194,0.790907,0.810201,0.802194,3.923745,-0.22312922127586,0.5461781500527378,12.210626271749723,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
12,BiAttentionClassifyModel,2021,0,base,0.606472,0.794907,0.790782,0.817282,0.794907,3.521021,0.595127,0.798359,0.794259,0.819002,0.798359,3.530238,-0.22042985949192503,0.5241943588235423,12.214384939792774,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
13,BiAttentionClassifyModel,2020,0,base,0.610482,0.795214,0.790551,0.814984,0.795214,3.784573,0.614555,0.800123,0.795991,0.821572,0.800123,3.792979,-0.25747390921816377,0.5355364675722729,12.16642902870091,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
14,BiAttentionClassifyModel,42,0,base,0.621558,0.795214,0.791667,0.816202,0.795214,3.986234,0.601625,0.805875,0.804151,0.828203,0.805875,3.994488,-0.24032917894213596,0.5532891289692918,12.209198128738482,0.2,glove,256,40,1,,MIND15/keep_all/BiAttentionClassifyModel
