,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
0,BiAttentionClassifyModel,2021,0,base,1.012926,0.705915,0.694692,0.728381,0.705915,2.439136,1.003241,0.711043,0.701521,0.73759,0.711043,2.442821,0.2,glove,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
1,BiAttentionClassifyModel,5,0,base,0.955808,0.721049,0.71238,0.74944,0.721049,2.92434,0.962046,0.717365,0.710792,0.750984,0.717365,2.926669,0.2,xlnet-base-cased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
2,BiAttentionClassifyModel,40,0,base,0.960643,0.719904,0.711977,0.749005,0.719904,2.912052,0.963671,0.718361,0.709617,0.746215,0.718361,2.911642,0.2,xlnet-base-cased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
3,BiAttentionClassifyModel,2020,0,base,0.956628,0.721846,0.714736,0.752345,0.721846,2.916327,0.96188,0.717913,0.711382,0.751308,0.717913,2.917124,0.2,xlnet-base-cased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
4,BiAttentionClassifyModel,42,0,base,0.951706,0.721547,0.711699,0.74502,0.721547,2.970819,0.951574,0.721746,0.713482,0.750285,0.721746,2.971355,0.2,xlnet-base-cased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
5,BiAttentionClassifyModel,2021,0,base,0.964447,0.721049,0.711002,0.747041,0.721049,2.929609,0.971973,0.717216,0.709462,0.747223,0.717216,2.930298,0.2,xlnet-base-cased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
6,BiAttentionClassifyModel,5,0,base,0.948266,0.715623,0.709213,0.748288,0.715623,2.884147,0.946915,0.719705,0.715466,0.756514,0.719705,2.883441,0.2,roberta-base,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
7,BiAttentionClassifyModel,40,0,base,0.943895,0.721,0.709745,0.742802,0.721,2.933811,0.947026,0.719556,0.709923,0.74512,0.719556,2.934964,0.2,roberta-base,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
8,BiAttentionClassifyModel,2020,0,base,0.943552,0.720153,0.713576,0.754021,0.720153,2.899264,0.952703,0.71856,0.712866,0.75423,0.71856,2.898716,0.2,roberta-base,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
9,BiAttentionClassifyModel,42,0,base,0.947086,0.721498,0.711083,0.747376,0.721498,2.961447,0.950514,0.71856,0.708853,0.744214,0.71856,2.962235,0.2,roberta-base,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
10,BiAttentionClassifyModel,2021,0,base,0.938449,0.722195,0.711117,0.744595,0.722195,2.904121,0.94177,0.72095,0.710534,0.745786,0.72095,2.906076,0.2,roberta-base,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
11,BiAttentionClassifyModel,5,0,base,0.932402,0.723837,0.719295,0.759643,0.723837,2.692296,0.926874,0.722991,0.718663,0.761056,0.722991,2.692061,0.2,distilbert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
12,BiAttentionClassifyModel,40,0,base,0.933337,0.724933,0.714679,0.747929,0.724933,2.745223,0.930331,0.722792,0.712727,0.746985,0.722792,2.745361,0.2,distilbert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
13,BiAttentionClassifyModel,2020,0,base,0.945282,0.721697,0.716294,0.755528,0.721697,2.726721,0.936121,0.721398,0.715425,0.754426,0.721398,2.726053,0.2,distilbert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
14,BiAttentionClassifyModel,42,0,base,0.93479,0.722394,0.715038,0.75258,0.722394,2.706012,0.923101,0.722045,0.71395,0.751618,0.722045,2.705368,0.2,distilbert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
15,BiAttentionClassifyModel,2021,0,base,0.931884,0.727173,0.716883,0.751659,0.727173,2.748801,0.925965,0.721846,0.710218,0.743513,0.721846,2.748529,0.2,distilbert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
16,BiAttentionClassifyModel,5,0,base,0.951011,0.719506,0.716,0.758678,0.719506,2.8404,0.944121,0.720203,0.717041,0.760167,0.720203,2.843033,0.2,bert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
17,BiAttentionClassifyModel,40,0,base,0.944452,0.721597,0.710259,0.742907,0.721597,2.826206,0.941945,0.721298,0.710921,0.745681,0.721298,2.826404,0.2,bert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
18,BiAttentionClassifyModel,2020,0,base,0.954353,0.716768,0.711726,0.754096,0.716768,2.857019,0.948569,0.722294,0.717671,0.759086,0.722294,2.859615,0.2,bert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
19,BiAttentionClassifyModel,42,0,base,0.942494,0.720751,0.712801,0.750731,0.720751,2.824241,0.938627,0.719008,0.710906,0.748656,0.719008,2.825001,0.2,bert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
20,BiAttentionClassifyModel,2021,0,base,0.942853,0.721049,0.712908,0.750581,0.721049,2.823925,0.935344,0.721448,0.711482,0.746094,0.721448,2.825764,0.2,bert-base-uncased,100,50.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
21,BiAttentionClassifyModel,2021,0,base,1.001504,0.705516,0.696804,0.73536,0.705516,2.808668,0.99502,0.705915,0.696728,0.736676,0.705915,2.809921,0.2,glove,100,40.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
22,BiAttentionClassifyModel,5,0,base,0.992908,0.711889,0.703032,0.739349,0.711889,2.862089,0.9832,0.714976,0.705625,0.742879,0.714976,2.866571,0.2,glove,100,160.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
23,BiAttentionClassifyModel,40,0,base,0.99456,0.712038,0.707269,0.747161,0.712038,2.885522,0.990007,0.709748,0.704257,0.744495,0.709748,2.889493,0.2,glove,100,160.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
24,BiAttentionClassifyModel,2020,0,base,1.004805,0.707956,0.70014,0.737159,0.707956,2.819079,0.994264,0.708902,0.701328,0.739325,0.708902,2.823997,0.2,glove,100,160.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
25,BiAttentionClassifyModel,42,0,base,0.99565,0.708454,0.699818,0.737385,0.708454,2.894773,0.987925,0.710545,0.702461,0.738607,0.710545,2.898964,0.2,glove,100,160.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
26,BiAttentionClassifyModel,2021,0,base,0.996866,0.709748,0.702426,0.73983,0.709748,2.9013,0.983972,0.713233,0.707572,0.746884,0.713233,2.905442,0.2,glove,100,160.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
27,BiAttentionClassifyModel,5,0,base,0.987723,0.713731,0.699138,0.729874,0.713731,2.849858,0.990181,0.712885,0.699214,0.732906,0.712885,2.8533,0.2,glove,100,140.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
28,BiAttentionClassifyModel,40,0,base,0.990217,0.710893,0.698763,0.732816,0.710893,2.867339,0.979805,0.71627,0.705539,0.74184,0.71627,2.871296,0.2,glove,100,140.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
29,BiAttentionClassifyModel,2020,0,base,0.995542,0.713631,0.705267,0.742666,0.713631,2.854858,0.987489,0.713333,0.704991,0.742682,0.713333,2.858202,0.2,glove,100,140.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
30,BiAttentionClassifyModel,42,0,base,0.995304,0.710594,0.704532,0.743531,0.710594,2.859743,0.989127,0.710943,0.70429,0.742638,0.710943,2.863776,0.2,glove,100,140.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
31,BiAttentionClassifyModel,2021,0,base,0.996259,0.707558,0.700292,0.738909,0.707558,2.911879,0.986468,0.712237,0.705866,0.745561,0.712237,2.916185,0.2,glove,100,140.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
32,BiAttentionClassifyModel,5,0,base,0.985442,0.713283,0.70192,0.735471,0.713283,2.821058,0.981889,0.711043,0.700321,0.735466,0.711043,2.824022,0.2,glove,100,120.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
33,BiAttentionClassifyModel,40,0,base,0.996065,0.709449,0.704751,0.744879,0.709449,2.76785,0.990236,0.711192,0.706074,0.746611,0.711192,2.769817,0.2,glove,100,120.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
