,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
0,BiAttentionClassifyModel,2021,0,base,0.170442,0.9454,0.944066,0.958065,0.9454,4.741868,0.163297,0.9489,0.947819,0.960609,0.9489,4.728053,0.2,roberta-wwm,256,60.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
1,BiAttentionClassifyModel,5,0,base,0.189689,0.942,0.939959,0.956098,0.942,4.886884,0.181297,0.941,0.939819,0.956388,0.941,4.874273,0.2,roberta-wwm,256,60.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
2,BiAttentionClassifyModel,40,0,base,0.179249,0.945,0.943827,0.958005,0.945,4.834667,0.174579,0.9438,0.942602,0.957418,0.9438,4.826134,0.2,roberta-wwm,256,60.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
3,BiAttentionClassifyModel,2020,0,base,0.187191,0.9412,0.939131,0.953764,0.9412,4.900019,0.182975,0.9421,0.940835,0.957603,0.9421,4.894113,0.2,roberta-wwm,256,60.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
4,BiAttentionClassifyModel,42,0,base,0.171074,0.9476,0.947457,0.961603,0.9476,4.707086,0.141678,0.9555,0.955685,0.966973,0.9555,4.696251,0.2,roberta-wwm,256,60.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
5,BiAttentionClassifyModel,5,0,base,0.174988,0.9492,0.948402,0.962273,0.9492,4.869017,0.180174,0.9452,0.943852,0.958622,0.9452,4.874214,0.2,bert-base-chinese,256,50.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
6,BiAttentionClassifyModel,40,0,base,0.161861,0.9504,0.948861,0.962241,0.9504,4.857832,0.165553,0.9468,0.945592,0.959022,0.9468,4.858338,0.2,bert-base-chinese,256,50.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
7,BiAttentionClassifyModel,2020,0,base,0.148907,0.955,0.95394,0.96639,0.955,4.839322,0.161752,0.9493,0.948176,0.960376,0.9493,4.845474,0.2,bert-base-chinese,256,50.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
8,BiAttentionClassifyModel,42,0,base,0.193122,0.9416,0.940347,0.957572,0.9416,4.826735,0.179314,0.945,0.943935,0.958374,0.945,4.83156,0.2,bert-base-chinese,256,50.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
9,BiAttentionClassifyModel,2021,0,base,0.161624,0.952,0.951604,0.963839,0.952,4.815648,0.153556,0.949,0.948457,0.961285,0.949,4.826046,0.2,bert-base-chinese,256,50.0,1.0,gru,cnews/keep_all/BiAttentionClassifyModel
10,PretrainedBaseline,40,0,,0.214938,0.9322,0.931486,0.950394,0.9322,,0.181397,0.9427,0.94233,0.95697,0.9427,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
11,PretrainedBaseline,2020,0,,0.203625,0.9418,0.940923,0.956499,0.9418,,0.187634,0.946,0.945321,0.959184,0.946,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
12,PretrainedBaseline,4,0,,0.202503,0.9396,0.938661,0.955005,0.9396,,0.18579,0.9401,0.938229,0.954054,0.9401,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
13,PretrainedBaseline,25,0,,0.175689,0.9458,0.945322,0.960827,0.9458,,0.170967,0.9439,0.942563,0.955711,0.9439,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
14,PretrainedBaseline,2021,0,,0.171318,0.9508,0.950379,0.963463,0.9508,,0.164446,0.9495,0.949411,0.962225,0.9495,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
15,PretrainedBaseline,2020,0,,0.684061,0.7866,0.768674,0.809802,0.7866,,0.611827,0.8085,0.790842,0.82561,0.8085,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
16,PretrainedBaseline,4,0,,0.731768,0.7712,0.753057,0.794094,0.7712,,0.575219,0.8178,0.808986,0.851373,0.8178,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
17,PretrainedBaseline,25,0,,0.732026,0.7738,0.755175,0.801343,0.7738,,0.62918,0.8126,0.799122,0.834638,0.8126,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
18,PretrainedBaseline,2021,0,,0.621976,0.808,0.799655,0.849521,0.808,,0.574437,0.8255,0.819261,0.861023,0.8255,,0.2,roberta-wwm,256,,,,cnews/keep_all/PretrainedBaseline
19,BiAttentionClassifyModel,40,0,base,0.158347,0.9522,0.950728,0.961613,0.9522,4.324553,0.155745,0.9531,0.952269,0.964352,0.9531,4.31592,0.2,roberta-wwm,256,40.0,1.0,,cnews/keep_all/BiAttentionClassifyModel
