,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
0,BiAttentionClassifyModel,5,0,base,0.387575,0.883545,0.88421,0.913493,0.883545,3.104638,0.360391,0.889727,0.8902,0.918879,0.889727,3.114362,0.2,roberta-wwm,100,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
1,BiAttentionClassifyModel,40,0,base,0.378157,0.885727,0.886727,0.915959,0.885727,3.107598,0.358585,0.891727,0.891278,0.917628,0.891727,3.117113,0.2,roberta-wwm,100,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
2,BiAttentionClassifyModel,2020,0,base,0.387711,0.882273,0.88145,0.910768,0.882273,2.951826,0.369401,0.888636,0.888826,0.916141,0.888636,2.962716,0.2,roberta-wwm,100,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
3,BiAttentionClassifyModel,42,0,base,0.376435,0.889364,0.889128,0.917232,0.889364,2.938758,0.349401,0.894182,0.893472,0.917004,0.894182,2.950352,0.2,roberta-wwm,100,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
4,BiAttentionClassifyModel,2021,0,base,0.388821,0.883,0.881414,0.908422,0.883,2.961235,0.366305,0.889909,0.888832,0.916349,0.889909,2.973224,0.2,roberta-wwm,100,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
5,BiAttentionClassifyModel,5,0,base,0.367339,0.888364,0.888951,0.916351,0.888364,2.719427,0.35104,0.892182,0.891626,0.917437,0.892182,2.729853,0.2,bert-base-chinese,256,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
6,BiAttentionClassifyModel,40,0,base,0.367257,0.889182,0.888793,0.915781,0.889182,2.570306,0.353426,0.893909,0.893232,0.918626,0.893909,2.579818,0.2,bert-base-chinese,256,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
7,BiAttentionClassifyModel,2020,0,base,0.37028,0.887273,0.886404,0.913279,0.887273,2.62199,0.34976,0.893545,0.893626,0.92082,0.893545,2.633933,0.2,bert-base-chinese,256,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
8,BiAttentionClassifyModel,42,0,base,0.37295,0.885909,0.885325,0.914287,0.885909,2.665455,0.349636,0.893909,0.893387,0.918584,0.893909,2.673788,0.2,bert-base-chinese,256,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
9,BiAttentionClassifyModel,2021,0,base,0.37017,0.886364,0.886669,0.914196,0.886364,2.617166,0.347056,0.895182,0.895042,0.920311,0.895182,2.625493,0.2,bert-base-chinese,256,50.0,1.0,gru,toutiao_news/keep_all/BiAttentionClassifyModel
